experiment,snapshot_time,snapshot_size,snapshot_speed,iteration_time,samples_per_sec,tflops
strong_scaling-pure_thread-sharding-dp_2-sync_record,3.9260514209971706,5735.3037109375,1460.832550552993,9.270911949522356,1.7703518656385422,9.699405946050533
strong_scaling-thread-no_sharding-dp_2-sync_record,2.3969323874080883,11470.607421875,4785.536497455687,5.304144989041721,3.0303353873846017,16.602605191326802
strong_scaling-bubble-no_sharding-dp_1-sync_record,0.4626763789755951,11470.607421875,24791.858722660323,2.0977655193384956,3.814493534491486,41.797703595237806
strong_scaling-bubble-sharding-dp_2-no_sync_record,,,,2.19316268843763,7.299459716078783,39.992288734959544
strong_scaling-thread-no_sharding-dp_4-sync_record,2.5029041190427894,11470.607421875,4582.919231545241,5.857163668993642,5.503656644511665,15.076720345518073
strong_scaling-bubble-no_sharding-dp_1-no_sync_record,,,,2.0817068815231323,3.8449337739427394,42.131255636799
strong_scaling-thread_stream-no_sharding-dp_4-no_sync_record,,,,3.188969548572512,10.054077049516094,27.54214475915864
strong_scaling-pure_thread-no_sharding-dp_4-sync_record,4.040018287883085,11470.607421875,2839.246410413019,9.703247413915747,3.3661799129928416,9.221315292534298
strong_scaling-no_snapshot-no_sharding-dp_4-sync_record,,,,2.5807397098225704,12.43891170182692,34.07516225018372
strong_scaling-thread_stream-no_sharding-dp_1-sync_record,0.9842056646908032,11470.607421875,11654.685431503376,2.5076205064268673,3.2013079655072367,35.07865991891981
strong_scaling-thread_stream-sharding-dp_2-sync_record,0.5108105062596938,5735.3037109375,11227.849937803936,2.3018821714555515,6.952874592361176,38.093417739285066
strong_scaling-pure_thread-sharding-dp_4-sync_record,2.439739225331475,2868.0289392471313,1175.547332874261,6.345785850987715,5.076655102372062,13.906992062347713
strong_scaling-thread-sharding-dp_2-sync_record,1.2800279850679288,5735.3037109375,4480.608063137884,3.4367297817679012,4.664135693766811,25.55387228910627
strong_scaling-thread_stream-no_sharding-dp_4-sync_record,1.032499298095703,11470.607421875,11109.554692221962,3.1608629537855877,10.128647445765223,27.746422947810487
strong_scaling-thread-no_sharding-dp_1-sync_record,1.6569539911606734,11470.607421875,6922.707258660814,4.052011624855154,1.9866538059079792,21.76896255685033
strong_scaling-thread_stream-sharding-dp_2-no_sync_record,,,,2.284278507618343,7.006222454730019,38.38570007225667
strong_scaling-pure_thread-no_sharding-dp_1-sync_record,3.577819565716912,11470.607421875,3206.0329514064124,7.855960433973985,1.040575779818731,11.402215686032076
strong_scaling-thread_stream-no_sharding-dp_2-no_sync_record,,,,2.795535320744795,5.725962457517919,31.37141004863429
strong_scaling-thread-sharding-dp_4-sync_record,0.8883039708137511,2868.0289392471313,3228.6571190487957,3.409513320554705,9.409111421781725,25.77532552789001
strong_scaling-bubble-sharding-dp_4-sync_record,2.2044672714238986,2868.0289392471313,1301.0077202890966,2.63220508834895,12.330112793551768,33.77711845495571
strong_scaling-pure_thread-no_sharding-dp_2-sync_record,3.6879445316090305,11470.607421875,3110.2982497598564,9.07702286629116,1.849906285986938,10.135268800626912
strong_scaling-bubble-no_sharding-dp_2-no_sync_record,,,,2.50779967974214,6.381890118560282,34.965107312538706
strong_scaling-sync_snapshot-no_sharding-dp_4-sync_record,26.262776431812963,11470.607421875,436.7629390463179,34.547613733393305,0.9281913326234603,2.542687898790485
strong_scaling-bubble-no_sharding-dp_2-sync_record,0.4323803457097101,11470.607421875,26528.9750926285,2.542759087155847,6.2942293001843055,34.48483111462879
strong_scaling-sync_snapshot-no_sharding-dp_1-sync_record,14.297098704618566,11470.607421875,802.3031566655904,18.84045910659958,0.42656719196489595,4.674153696154711
strong_scaling-bubble-sharding-dp_2-sync_record,1.021655923963487,5735.3037109375,5613.733133056716,2.183650338474442,7.329131672554272,40.154855486041825
strong_scaling-thread_stream-sharding-dp_4-no_sync_record,,,,3.003601746962351,10.911437454319033,29.89079837137558
strong_scaling-sync_snapshot-no_sharding-dp_2-sync_record,15.892686724494483,11470.607421875,721.7538243043583,20.64594502834713,0.7772992612767728,4.25866813429729
strong_scaling-bubble-no_sharding-dp_4-no_sync_record,,,,3.009003342951045,10.782335753923249,29.537137095114982
strong_scaling-thread_stream-no_sharding-dp_1-no_sync_record,,,,2.5341421786476586,3.1741056720588694,34.780588002324706
strong_scaling-no_snapshot-no_sharding-dp_2-sync_record,,,,2.111497601165491,7.586316508303006,41.56392007569364
strong_scaling-bubble-sharding-dp_4-no_sync_record,,,,2.641980952638037,12.18650275255749,33.38371302167196
strong_scaling-thread_stream-no_sharding-dp_2-sync_record,1.021977123709286,11470.607421875,11223.937557664896,2.8183207827455856,5.68429241338095,31.143108160337903
strong_scaling-thread_stream-sharding-dp_4-sync_record,0.35395354171360244,2868.0289392471313,8102.84006585182,2.9208739772439003,11.07125967157232,30.32861545012291
strong_scaling-bubble-no_sharding-dp_4-sync_record,0.4495188848385733,11470.607421875,25517.52063985968,2.9985425419667187,10.774557673516895,29.51582981693867
strong_scaling-no_snapshot-no_sharding-dp_1-sync_record,,,,1.8407496196382187,4.35494248342571,47.71972830747054
